"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","612","Failed refresh of access token with invalid refresh token","tests.users_tests","Tue Dec 02 15:17:43 UTC 2025","passed","Tue Dec 02 15:17:44 UTC 2025","TestAuth","auth_tests","",""
"","802","Successful refresh of access token","tests.users_tests","Tue Dec 02 15:17:38 UTC 2025","passed","Tue Dec 02 15:17:39 UTC 2025","TestAuth","auth_tests","",""
"","771","Failed authorization with invalid auth data","tests.users_tests","Tue Dec 02 15:17:39 UTC 2025","passed","Tue Dec 02 15:17:40 UTC 2025","TestAuth","auth_tests","",""
"","886","Successful authorization","tests.users_tests","Tue Dec 02 15:17:37 UTC 2025","passed","Tue Dec 02 15:17:38 UTC 2025","TestAuth","auth_tests","",""
"","817","Failed authorization with invalid auth data","tests.users_tests","Tue Dec 02 15:17:34 UTC 2025","passed","Tue Dec 02 15:17:34 UTC 2025","TestAuth","auth_tests","",""
"","810","Failed refresh of access token with invalid refresh token","tests.users_tests","Tue Dec 02 15:17:38 UTC 2025","passed","Tue Dec 02 15:17:39 UTC 2025","TestAuth","auth_tests","",""
"","1850","Failed authorization with invalid auth data","tests.users_tests","Tue Dec 02 15:17:32 UTC 2025","passed","Tue Dec 02 15:17:34 UTC 2025","TestAuth","auth_tests","",""
"","1066","Failed authorization with invalid auth data","tests.users_tests","Tue Dec 02 15:17:32 UTC 2025","passed","Tue Dec 02 15:17:33 UTC 2025","TestAuth","auth_tests","",""
