"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1594","Successful registration","tests.users_tests","Tue Dec 02 15:03:36 UTC 2025","passed","Tue Dec 02 15:03:37 UTC 2025","TestUserRegistration","register_user_tests","",""
"","668","Failed authorization with invalid auth data","tests.users_tests","Tue Dec 02 15:03:30 UTC 2025","passed","Tue Dec 02 15:03:31 UTC 2025","TestAuth","auth_tests","",""
"","698","Verify service health","tests.root_tests","Tue Dec 02 15:03:29 UTC 2025","passed","Tue Dec 02 15:03:30 UTC 2025","TestHealth","test_health","",""
"","641","Unsuccessful registration with invalid data","tests.users_tests","Tue Dec 02 15:03:39 UTC 2025","passed","Tue Dec 02 15:03:40 UTC 2025","TestUserRegistration","register_user_tests","",""
"","659","Unsuccessful registration with invalid data","tests.users_tests","Tue Dec 02 15:03:35 UTC 2025","passed","Tue Dec 02 15:03:36 UTC 2025","TestUserRegistration","register_user_tests","",""
"","699","Unsuccessful registration with invalid data","tests.users_tests","Tue Dec 02 15:03:36 UTC 2025","passed","Tue Dec 02 15:03:37 UTC 2025","TestUserRegistration","register_user_tests","",""
"","481","Failed authorization with invalid auth data","tests.users_tests","Tue Dec 02 15:03:35 UTC 2025","passed","Tue Dec 02 15:03:35 UTC 2025","TestAuth","auth_tests","",""
"","957","Successful authorization","tests.users_tests","Tue Dec 02 15:03:33 UTC 2025","passed","Tue Dec 02 15:03:34 UTC 2025","TestAuth","auth_tests","",""
"","473","Unsuccessful registration with invalid data","tests.users_tests","Tue Dec 02 15:03:40 UTC 2025","passed","Tue Dec 02 15:03:40 UTC 2025","TestUserRegistration","register_user_tests","",""
"","650","Failed refresh of access token with invalid refresh token","tests.users_tests","Tue Dec 02 15:03:35 UTC 2025","passed","Tue Dec 02 15:03:35 UTC 2025","TestAuth","auth_tests","",""
"","1208","Failed authorization with invalid auth data","tests.users_tests","Tue Dec 02 15:03:29 UTC 2025","passed","Tue Dec 02 15:03:30 UTC 2025","TestAuth","auth_tests","",""
"","705","Failed authorization with invalid auth data","tests.users_tests","Tue Dec 02 15:03:29 UTC 2025","passed","Tue Dec 02 15:03:30 UTC 2025","TestAuth","auth_tests","",""
"","481","Unsuccessful registration with invalid data","tests.users_tests","Tue Dec 02 15:03:38 UTC 2025","passed","Tue Dec 02 15:03:39 UTC 2025","TestUserRegistration","register_user_tests","",""
"","495","Unsuccessful registration with invalid data","tests.users_tests","Tue Dec 02 15:03:38 UTC 2025","passed","Tue Dec 02 15:03:39 UTC 2025","TestUserRegistration","register_user_tests","",""
"","472","Unsuccessful registration with invalid data","tests.users_tests","Tue Dec 02 15:03:39 UTC 2025","passed","Tue Dec 02 15:03:40 UTC 2025","TestUserRegistration","register_user_tests","",""
"","3572","Successful registration","tests.users_tests","Tue Dec 02 15:03:31 UTC 2025","passed","Tue Dec 02 15:03:34 UTC 2025","TestUserRegistration","register_user_tests","",""
"","582","Successful refresh of access token","tests.users_tests","Tue Dec 02 15:03:34 UTC 2025","passed","Tue Dec 02 15:03:34 UTC 2025","TestAuth","auth_tests","",""
"","690","Unsuccessful registration with invalid data","tests.users_tests","Tue Dec 02 15:03:37 UTC 2025","passed","Tue Dec 02 15:03:38 UTC 2025","TestUserRegistration","register_user_tests","",""
"","1343","Successful registration","tests.users_tests","Tue Dec 02 15:03:37 UTC 2025","passed","Tue Dec 02 15:03:38 UTC 2025","TestUserRegistration","register_user_tests","",""
"","643","Verify service is working","tests.root_tests","Tue Dec 02 15:03:30 UTC 2025","passed","Tue Dec 02 15:03:30 UTC 2025","TestRoot","test_root","",""
"","675","Failed refresh of access token with invalid refresh token","tests.users_tests","Tue Dec 02 15:03:38 UTC 2025","passed","Tue Dec 02 15:03:39 UTC 2025","TestAuth","auth_tests","",""
