"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Registration and authorization","11","0","Registration","0"
"0","","0","Deploy","1","0","Health","0"
"0","","0","Registration and authorization","5","0","Authorization","0"
"0","","0","Registration and authorization","2","0","Refresh of access token","0"
"0","","0","Deploy","1","0","Service greeting","0"
"0","","0","Registration and authorization","1","0","Automatical refresh of access token","0"
