"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","483","Unsuccessful registration with invalid data","tests.users_tests","Tue Dec 02 15:06:44 UTC 2025","passed","Tue Dec 02 15:06:44 UTC 2025","TestUserRegistration","register_user_tests","",""
"","938","Successful authorization","tests.users_tests","Tue Dec 02 15:06:39 UTC 2025","passed","Tue Dec 02 15:06:40 UTC 2025","TestAuth","auth_tests","",""
"","715","Failed authorization with invalid auth data","tests.users_tests","Tue Dec 02 15:06:36 UTC 2025","passed","Tue Dec 02 15:06:37 UTC 2025","TestAuth","auth_tests","",""
"","1239","Successful registration","tests.users_tests","Tue Dec 02 15:06:42 UTC 2025","passed","Tue Dec 02 15:06:43 UTC 2025","TestUserRegistration","register_user_tests","",""
"","463","Unsuccessful registration with invalid data","tests.users_tests","Tue Dec 02 15:06:45 UTC 2025","passed","Tue Dec 02 15:06:46 UTC 2025","TestUserRegistration","register_user_tests","",""
"","3390","Successful registration","tests.users_tests","Tue Dec 02 15:06:37 UTC 2025","passed","Tue Dec 02 15:06:40 UTC 2025","TestUserRegistration","register_user_tests","",""
"","1088","Unsuccessful registration with invalid data","tests.users_tests","Tue Dec 02 15:06:42 UTC 2025","passed","Tue Dec 02 15:06:43 UTC 2025","TestUserRegistration","register_user_tests","",""
"","665","Failed refresh of access token with invalid refresh token","tests.users_tests","Tue Dec 02 15:06:44 UTC 2025","passed","Tue Dec 02 15:06:45 UTC 2025","TestAuth","auth_tests","",""
"","1231","Failed authorization with invalid auth data","tests.users_tests","Tue Dec 02 15:06:35 UTC 2025","passed","Tue Dec 02 15:06:36 UTC 2025","TestAuth","auth_tests","",""
"","684","Unsuccessful registration with invalid data","tests.users_tests","Tue Dec 02 15:06:44 UTC 2025","passed","Tue Dec 02 15:06:45 UTC 2025","TestUserRegistration","register_user_tests","",""
"","466","Unsuccessful registration with invalid data","tests.users_tests","Tue Dec 02 15:06:43 UTC 2025","passed","Tue Dec 02 15:06:43 UTC 2025","TestUserRegistration","register_user_tests","",""
"","674","Verify service is working","tests.root_tests","Tue Dec 02 15:06:36 UTC 2025","passed","Tue Dec 02 15:06:36 UTC 2025","TestRoot","test_root","",""
"","1566","Successful registration","tests.users_tests","Tue Dec 02 15:06:41 UTC 2025","passed","Tue Dec 02 15:06:43 UTC 2025","TestUserRegistration","register_user_tests","",""
"","460","Successful refresh of access token","tests.users_tests","Tue Dec 02 15:06:40 UTC 2025","passed","Tue Dec 02 15:06:40 UTC 2025","TestAuth","auth_tests","",""
"","548","Unsuccessful registration with invalid data","tests.users_tests","Tue Dec 02 15:06:45 UTC 2025","passed","Tue Dec 02 15:06:45 UTC 2025","TestUserRegistration","register_user_tests","",""
"","634","Failed refresh of access token with invalid refresh token","tests.users_tests","Tue Dec 02 15:06:40 UTC 2025","passed","Tue Dec 02 15:06:41 UTC 2025","TestAuth","auth_tests","",""
"","706","Failed authorization with invalid auth data","tests.users_tests","Tue Dec 02 15:06:35 UTC 2025","passed","Tue Dec 02 15:06:36 UTC 2025","TestAuth","auth_tests","",""
"","688","Failed authorization with invalid auth data","tests.users_tests","Tue Dec 02 15:06:41 UTC 2025","passed","Tue Dec 02 15:06:42 UTC 2025","TestAuth","auth_tests","",""
"","667","Verify service health","tests.root_tests","Tue Dec 02 15:06:35 UTC 2025","passed","Tue Dec 02 15:06:36 UTC 2025","TestHealth","test_health","",""
"","650","Unsuccessful registration with invalid data","tests.users_tests","Tue Dec 02 15:06:46 UTC 2025","passed","Tue Dec 02 15:06:46 UTC 2025","TestUserRegistration","register_user_tests","",""
"","482","Unsuccessful registration with invalid data","tests.users_tests","Tue Dec 02 15:06:44 UTC 2025","passed","Tue Dec 02 15:06:45 UTC 2025","TestUserRegistration","register_user_tests","",""
