"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","503","Unsuccessful registration with invalid data","tests.users_tests","Tue Dec 02 16:16:35 UTC 2025","passed","Tue Dec 02 16:16:36 UTC 2025","TestUserRegistration","register_user_tests","",""
"","541","Verify service is working","tests.root_tests","Tue Dec 02 16:16:27 UTC 2025","passed","Tue Dec 02 16:16:27 UTC 2025","TestRoot","test_root","",""
"","579","Unsuccessful registration with invalid data","tests.users_tests","Tue Dec 02 16:16:35 UTC 2025","passed","Tue Dec 02 16:16:36 UTC 2025","TestUserRegistration","register_user_tests","",""
"","431","Unsuccessful registration with invalid data","tests.users_tests","Tue Dec 02 16:16:32 UTC 2025","passed","Tue Dec 02 16:16:32 UTC 2025","TestUserRegistration","register_user_tests","",""
"","796","Unsuccessful registration with invalid data","tests.users_tests","Tue Dec 02 16:16:33 UTC 2025","passed","Tue Dec 02 16:16:34 UTC 2025","TestUserRegistration","register_user_tests","",""
"","1172","Successful registration","tests.users_tests","Tue Dec 02 16:16:33 UTC 2025","passed","Tue Dec 02 16:16:34 UTC 2025","TestUserRegistration","register_user_tests","",""
"","548","Failed refresh of access token with invalid refresh token","tests.users_tests","Tue Dec 02 16:16:32 UTC 2025","passed","Tue Dec 02 16:16:32 UTC 2025","TestAuth","auth_tests","",""
"","1090","Successful registration","tests.users_tests","Tue Dec 02 16:16:33 UTC 2025","passed","Tue Dec 02 16:16:34 UTC 2025","TestUserRegistration","register_user_tests","",""
"","535","Failed authorization with invalid auth data","tests.users_tests","Tue Dec 02 16:16:31 UTC 2025","passed","Tue Dec 02 16:16:32 UTC 2025","TestAuth","auth_tests","",""
"","535","Unsuccessful registration with invalid data","tests.users_tests","Tue Dec 02 16:16:34 UTC 2025","passed","Tue Dec 02 16:16:35 UTC 2025","TestUserRegistration","register_user_tests","",""
"","408","Unsuccessful registration with invalid data","tests.users_tests","Tue Dec 02 16:16:35 UTC 2025","passed","Tue Dec 02 16:16:35 UTC 2025","TestUserRegistration","register_user_tests","",""
"","1131","Failed authorization with invalid auth data","tests.users_tests","Tue Dec 02 16:16:26 UTC 2025","passed","Tue Dec 02 16:16:27 UTC 2025","TestAuth","auth_tests","",""
"","402","Unsuccessful registration with invalid data","tests.users_tests","Tue Dec 02 16:16:35 UTC 2025","passed","Tue Dec 02 16:16:36 UTC 2025","TestUserRegistration","register_user_tests","",""
"","605","Verify service health","tests.root_tests","Tue Dec 02 16:16:26 UTC 2025","passed","Tue Dec 02 16:16:27 UTC 2025","TestHealth","test_health","",""
"","400","Failed refresh of access token with invalid refresh token","tests.users_tests","Tue Dec 02 16:16:32 UTC 2025","passed","Tue Dec 02 16:16:32 UTC 2025","TestAuth","auth_tests","",""
"","1126","Failed authorization with invalid auth data","tests.users_tests","Tue Dec 02 16:16:26 UTC 2025","passed","Tue Dec 02 16:16:27 UTC 2025","TestAuth","auth_tests","",""
"","844","Failed authorization with invalid auth data","tests.users_tests","Tue Dec 02 16:16:27 UTC 2025","passed","Tue Dec 02 16:16:28 UTC 2025","TestAuth","auth_tests","",""
"","409","Successful refresh of access token","tests.users_tests","Tue Dec 02 16:16:31 UTC 2025","passed","Tue Dec 02 16:16:32 UTC 2025","TestAuth","auth_tests","",""
"","555","Unsuccessful registration with invalid data","tests.users_tests","Tue Dec 02 16:16:32 UTC 2025","passed","Tue Dec 02 16:16:33 UTC 2025","TestUserRegistration","register_user_tests","",""
"","1028","Successful registration","tests.users_tests","Tue Dec 02 16:16:33 UTC 2025","passed","Tue Dec 02 16:16:34 UTC 2025","TestUserRegistration","register_user_tests","",""
"","828","Successful authorization","tests.users_tests","Tue Dec 02 16:16:30 UTC 2025","passed","Tue Dec 02 16:16:30 UTC 2025","TestAuth","auth_tests","",""
