"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","591","Try to update category by non-authenticated user","tests.categories_tests","Sun Dec 07 19:40:01 UTC 2025","passed","Sun Dec 07 19:40:01 UTC 2025","TestUpdateCategory","test_update_category","",""
"","795","Category creation: Access denied for non-authenticated user","tests.categories_tests","Sun Dec 07 19:39:52 UTC 2025","passed","Sun Dec 07 19:39:52 UTC 2025","TestPostCategory","test_create_category","",""
"","4334","Try to update category by non-admin roles (seller, buyer)","tests.categories_tests","Sun Dec 07 19:40:00 UTC 2025","passed","Sun Dec 07 19:40:04 UTC 2025","TestUpdateCategory","test_update_category","",""
"","6263","Category creation: Access denied for non-admin roles (seller, buyer)","tests.categories_tests","Sun Dec 07 19:39:52 UTC 2025","passed","Sun Dec 07 19:39:58 UTC 2025","TestPostCategory","test_create_category","",""
"","563","Try to update category without providing its id","tests.categories_tests","Sun Dec 07 19:40:04 UTC 2025","passed","Sun Dec 07 19:40:04 UTC 2025","TestUpdateCategory","test_update_category","",""
"","5977","Try to update category by non-admin roles (seller, buyer)","tests.categories_tests","Sun Dec 07 19:39:53 UTC 2025","passed","Sun Dec 07 19:39:59 UTC 2025","TestUpdateCategory","test_update_category","",""
"","603","Try to delete category by non-authenticated user","tests.categories_tests","Sun Dec 07 19:39:59 UTC 2025","passed","Sun Dec 07 19:40:00 UTC 2025","TestDeleteCategory","test_delete_category","",""
"","790","Try to delete category without providing its id","tests.categories_tests","Sun Dec 07 19:39:52 UTC 2025","passed","Sun Dec 07 19:39:52 UTC 2025","TestDeleteCategory","test_delete_category","",""
"","5671","Try to delete category by non-admin roles (seller, buyer)","tests.categories_tests","Sun Dec 07 19:39:52 UTC 2025","passed","Sun Dec 07 19:39:58 UTC 2025","TestDeleteCategory","test_delete_category","",""
"","574","Failed refresh of access token with invalid refresh token","tests.users_tests","Sun Dec 07 19:40:07 UTC 2025","passed","Sun Dec 07 19:40:07 UTC 2025","TestAuth","test_auth","",""
"","580","Failed refresh of access token with invalid refresh token","tests.users_tests","Sun Dec 07 19:40:10 UTC 2025","passed","Sun Dec 07 19:40:10 UTC 2025","TestAuth","test_auth","",""
"","563","Failed authorization with invalid auth data","tests.users_tests","Sun Dec 07 19:40:05 UTC 2025","passed","Sun Dec 07 19:40:06 UTC 2025","TestAuth","test_auth","",""
"","6250","Try to delete category by non-admin roles (seller, buyer)","tests.categories_tests","Sun Dec 07 19:39:52 UTC 2025","passed","Sun Dec 07 19:39:58 UTC 2025","TestDeleteCategory","test_delete_category","",""
"","574","Successful refresh of access token","tests.users_tests","Sun Dec 07 19:40:06 UTC 2025","passed","Sun Dec 07 19:40:06 UTC 2025","TestAuth","test_auth","",""
"","601","Failed authorization with invalid auth data","tests.users_tests","Sun Dec 07 19:40:01 UTC 2025","passed","Sun Dec 07 19:40:02 UTC 2025","TestAuth","test_auth","",""
"","790","Successfully get all categories","tests.categories_tests","Sun Dec 07 19:39:52 UTC 2025","passed","Sun Dec 07 19:39:53 UTC 2025","TestGetCategories","test_get_categories","",""
"","2824","Category creation: Access denied for non-admin roles (seller, buyer)","tests.categories_tests","Sun Dec 07 19:39:59 UTC 2025","passed","Sun Dec 07 19:40:02 UTC 2025","TestPostCategory","test_create_category","",""
"","713","Failed authorization with invalid auth data","tests.users_tests","Sun Dec 07 19:40:02 UTC 2025","passed","Sun Dec 07 19:40:03 UTC 2025","TestAuth","test_auth","",""
"","1190","Failed authorization with invalid auth data","tests.users_tests","Sun Dec 07 19:40:04 UTC 2025","passed","Sun Dec 07 19:40:06 UTC 2025","TestAuth","test_auth","",""
"","1122","Successful authorization","tests.users_tests","Sun Dec 07 19:40:02 UTC 2025","passed","Sun Dec 07 19:40:03 UTC 2025","TestAuth","test_auth","",""
